name,source_schema,source_table,snapshot_target_schema,snapshot_target_name,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
CURRENCY_DAY,edw_prd,CURRENCY_DAY,nzmigration,CURRENCY_DAY,1=1,qa_legacy,CURRENCY_DAY,DAY_DT,,
DAYS,edw_prd,DAYS,nzmigration,DAYS,1=1,qa_legacy,DAYS,DAY_DT,,
EELW_SPLIT_B_REC_PRE,,EELW_SPLIT_B_REC_PRE,nzmigration,EELW_SPLIT_B_REC_PRE,1=1,qa_raw,EELW_SPLIT_B_REC_PRE,,,
EMPL_ACCOMPLISHMENT,edw_prd,EMPL_ACCOMPLISHMENT,nzmigration,EMPL_ACCOMPLISHMENT,1=1,qa_legacy,EMPL_ACCOMPLISHMENT,EMPLOYEE_ID|PS_ACCOMP_TYPE_CD|EMPL_ACCOMP_SEQ_NBR,,
EMPL_ACTION_HIST,edw_prd,EMPL_ACTION_HIST,nzmigration,EMPL_ACTION_HIST,1=1,qa_legacy,EMPL_ACTION_HIST,EMPLOYEE_ID|EMPL_ACTION_EFF_DT|EMPL_ACTION_SEQNO,,
EMPL_DATE_HIST,edw_prd,EMPL_DATE_HIST,nzmigration,EMPL_DATE_HIST,1=1,qa_legacy,EMPL_DATE_HIST,EMPLOYEE_ID|EMPL_DATE_EFF_DT|PS_DATE_TYPE_CD,,
EMPL_DATE_HIST_PRE,edw_prd,EMPL_DATE_HIST_PRE,nzmigration,EMPL_DATE_HIST_PRE,1=1,qa_raw,EMPL_DATE_HIST_PRE,EMPLOYEE_ID|EMPL_DATE_EFF_DT|PS_DATE_TYPE_CD,,
EMPL_DEPT_HIST,edw_prd,EMPL_DEPT_HIST,nzmigration,EMPL_DEPT_HIST,1=1,qa_legacy,EMPL_DEPT_HIST,EMPLOYEE_ID|EMPL_DEPT_EFF_DT,,
EMPL_EDUCATION,edw_prd,EMPL_EDUCATION,nzmigration,EMPL_EDUCATION,1=1,qa_legacy,EMPL_EDUCATION,EMPLOYEE_ID|PS_EDU_TYPE_CD|PS_EDU_FIELD_CD|PS_EDU_DEGREE_LVL|EMPL_EDU_SEQ_NBR,,
EMPL_EMPL_LOC_WK,edw_prd,EMPL_EMPL_LOC_WK,data_harness_empl_protected,EMPL_EMPL_LOC_WK,1=1,qa_empl_protected,legacy_EMPL_EMPL_LOC_WK,WEEK_DT|LOCATION_ID|EMPLOYEE_ID|EARN_ID|STORE_DEPT_NBR,,
EMPL_EMPL_LOC_WK_PRE,edw_prd,EMPL_EMPL_LOC_WK_PRE,data_harness_empl_protected,EMPL_EMPL_LOC_WK_PRE,1=1,qa_empl_protected,raw_EMPL_EMPL_LOC_WK_PRE,WEEK_DT|LOCATION_ID|EMPLOYEE_ID|EARN_ID|STORE_DEPT_NBR,,
EMPL_ETIME_PROF,edw_prd,EMPL_ETIME_PROF,nzmigration,EMPL_ETIME_PROF,1=1,qa_legacy,EMPL_ETIME_PROF,EMPLOYEE_ID,,
EMPL_FULLPT_HIST,edw_prd,EMPL_FULLPT_HIST,nzmigration,EMPL_FULLPT_HIST,1=1,qa_legacy,EMPL_FULLPT_HIST,EMPLOYEE_ID|EMPL_FULLPT_EFF_DT,,
EMPL_JOB_HIST,edw_prd,EMPL_JOB_HIST,nzmigration,EMPL_JOB_HIST,1=1,qa_legacy,EMPL_JOB_HIST,EMPLOYEE_ID|EMPL_JOB_EFF_DT,,
EMPL_LABOR_WK,edw_prd,EMPL_LABOR_WK,data_harness_empl_protected,EMPL_LABOR_WK,1=1,qa_empl_protected,legacy_EMPL_LABOR_WK,WEEK_DT|LOCATION_ID|STORE_DEPT_NBR|EARN_ID|JOB_CODE|FULLPT_FLAG,,
EMPL_LOC_CNT_WK,edw_prd,EMPL_LOC_CNT_WK,nzmigration,EMPL_LOC_CNT_WK,1=1,qa_legacy,EMPL_LOC_CNT_WK,WEEK_DT|EMPLOYEE_ID|LOCATION_ID,,
EMPL_OVR_BONUS_HIST,edw_prd,EMPL_OVR_BONUS_HIST,nzmigration,EMPL_OVR_BONUS_HIST,1=1,qa_legacy,EMPL_OVR_BONUS_HIST,EMPLOYEE_ID|EMPL_OVR_BONUS_EFF_DT,,
EMPL_PAY_GRADE_HIST,edw_prd,EMPL_PAY_GRADE_HIST,data_harness_empl_protected,EMPL_PAY_GRADE_HIST,1=1,qa_empl_protected,legacy_EMPL_PAY_GRADE_HIST,EMPLOYEE_ID|EMPL_GRADE_EFF_DT,,
EMPL_PAY_RATE_HIST,edw_prd,EMPL_PAY_RATE_HIST,data_harness_empl_protected,EMPL_PAY_RATE_HIST,1=1,qa_empl_protected,legacy_EMPL_PAY_RATE_HIST,EMPLOYEE_ID|EMPL_PAY_RATE_EFF_DT,,
EMPL_POSITION_HIST,edw_prd,EMPL_POSITION_HIST,nzmigration,EMPL_POSITION_HIST,1=1,qa_legacy,EMPL_POSITION_HIST,EMPLOYEE_ID|EMPL_POSITION_EFF_DT,,
EMPL_PTO,edw_prd,EMPL_PTO,nzmigration,EMPL_PTO,1=1,qa_legacy,EMPL_PTO,CAL_YR|EMPLOYEE_ID|PS_ABSENCE_QUOTA_CD,,
EMPL_PTO_DAY,edw_prd,EMPL_PTO_DAY,nzmigration,EMPL_PTO_DAY,1=1,qa_legacy,EMPL_PTO_DAY,DAY_DT|EMPLOYEE_ID|PS_ABSENCE_TYPE_CD,,
EMPL_STATUS_HIST,edw_prd,EMPL_STATUS_HIST,nzmigration,EMPL_STATUS_HIST,1=1,qa_legacy,EMPL_STATUS_HIST,EMPLOYEE_ID|EMPL_STATUS_EFF_DT,,
EMPL_STD_BONUS_HIST,edw_prd,EMPL_STD_BONUS_HIST,data_harness_empl_protected,EMPL_STD_BONUS_HIST,1=1,qa_empl_protected,legacy_EMPL_STD_BONUS_HIST,EMPLOYEE_ID|EMPL_STD_BONUS_EFF_DT,,
EMPL_STD_BONUS_HIST_PRE,edw_prd,EMPL_STD_BONUS_HIST_PRE,data_harness_empl_protected,EMPL_STD_BONUS_HIST_PRE,1=1,qa_empl_protected,raw_EMPL_STD_BONUS_HIST_PRE,EMPLOYEE_ID|EMPL_STD_BONUS_START_DT|EMPL_STD_BONUS_END_DT,,
EMPL_SUPERVISOR_HIST,edw_prd,EMPL_SUPERVISOR_HIST,nzmigration,EMPL_SUPERVISOR_HIST,1=1,qa_legacy,EMPL_SUPERVISOR_HIST,EMPLOYEE_ID|EMPL_SPVSR_EFF_DT,,
EMPL_TERM_DAYS_WORKED,edw_prd,EMPL_TERM_DAYS_WORKED,nzmigration,EMPL_TERM_DAYS_WORKED,1=1,qa_legacy,EMPL_TERM_DAYS_WORKED,EMPL_TERM_WEEK_DT|EMPLOYEE_ID|LOCATION_ID,,
EMPL_TYPE_HIST,edw_prd,EMPL_TYPE_HIST,nzmigration,EMPL_TYPE_HIST,1=1,qa_legacy,EMPL_TYPE_HIST,EMPLOYEE_ID|EMPL_TYPE_EFF_DT,,
EMPL_WAGE_HIST,edw_prd,EMPL_WAGE_HIST,data_harness_empl_protected,EMPL_WAGE_HIST,1=1,qa_empl_protected,legacy_EMPL_WAGE_HIST,EMPLOYEE_ID|EMPL_WAGE_EFF_DT|PS_WAGE_TYPE_GID,,
EMPL_WAGE_HIST_PRE,edw_prd,EMPL_WAGE_HIST_PRE,data_harness_empl_protected,EMPL_WAGE_HIST_PRE,1=1,qa_empl_protected,raw_EMPL_WAGE_HIST_PRE,EMPLOYEE_ID|EMPL_WAGE_EFF_DT|PS_WAGE_TYPE_CD,,
EMPLOYEE_GROUP,edw_prd,EMPLOYEE_GROUP,nzmigration,EMPLOYEE_GROUP,1=1,qa_legacy,EMPLOYEE_GROUP,EMPL_GROUP_CD,,
EMPLOYEE_PROFILE,edw_prd,EMPLOYEE_PROFILE,data_harness_empl_protected,EMPLOYEE_PROFILE,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE,EMPLOYEE_ID,,
EMPLOYEE_PROFILE_DAY,edw_prd,EMPLOYEE_PROFILE_DAY,data_harness_empl_protected,EMPLOYEE_PROFILE_DAY,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE_DAY,DAY_DT|EMPLOYEE_ID,,
EMPLOYEE_PROFILE_PSOFT,edw_prd,EMPLOYEE_PROFILE_PSOFT,nzmigration,EMPLOYEE_PROFILE_PSOFT,1=1,qa_legacy,EMPLOYEE_PROFILE_PSOFT,EMPLOYEE_ID,,
EMPLOYEE_PROFILE_RPT,edw_prd,EMPLOYEE_PROFILE_RPT,data_harness_empl_protected,EMPLOYEE_PROFILE_RPT,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE_RPT,EMPLOYEE_ID,,
EMPLOYEE_PROFILE_WK,edw_prd,EMPLOYEE_PROFILE_WK,data_harness_empl_protected,EMPLOYEE_PROFILE_WK,1=1,qa_empl_protected,legacy_EMPLOYEE_PROFILE_WK,WEEK_DT|EMPLOYEE_ID,,
