database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
cust_sensitive,ENTERPRISE_DIGITAL_ORDER_PAYMENT_METHOD,DLN,StringType,,Star Mask,2022-08-25T21:58:03.741+0000,2022-09-01T03:29:44.760+0000,cwells,cwells
cust_sensitive,refine_fedex_shipping_package_rpt,SHIPPER_ADDRESS_1,StringType,STREET_ADDRESS,Star Mask,2022-09-27T21:26:52.486+0000,2022-09-27T21:26:52.486+0000,Automated Script,Automated Script
cust_sensitive,enterprise_customer_360,interact_src_id_value,StringType,null,Star Mask,2022-10-10T12:13:58.066+0000,2022-10-10T12:13:58.066+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_service_booking,AssignedEmployeeName,StringType,PERSON_NAME,Star Mask,2022-08-25T21:40:04.611+0000,2022-08-25T21:40:04.611+0000,rarroyo,rarroyo
cust_sensitive,refine_fedex_ca_shipping_package,RECIPIENT_POSTAL_CODE,StringType,STREET_ADDRESS,Star Mask,2022-09-28T18:17:17.692+0000,2022-09-28T18:17:17.692+0000,Automated Script,Automated Script
cust_sensitive,apps_crm_campaign,email,StringType,null,Email Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,email,StringType,null,Email Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_customer,firstname,StringType,null,Star Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_customer,lastname,StringType,null,Star Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_customer,birthdate,DateType,null,Date Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_customer,email,StringType,null,Email Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_txn_intraday,email,StringType,null,Email Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_email_attributes,email,StringType,null,Email Mask,2022-10-24T15:29:28.036+0000,2022-10-24T15:29:28.036+0000,rarroyo,rarroyo
